Project,Address,City,State,Zip Code,Description,First Mention,Last Mention,Latitude,Longitude,URL
Bicycle and Pedestrian Transportation Plan Update,Citywide,Palo Alto,CA,94301,"Study session on a conceptual plan for a safe and inclusive bike/pedestrian system, aiming to bring standards into the modern era and integrate population growth. Feedback sought on new bikeways/connections.",2/26/2025,5/28/2025,37.444122,-122.149915,https://www.paloalto.gov/Departments/Transportation/Bicycling-Walking/bikepedplan
El Camino Real Focus Area (Ordinance Amendment),El Camino Real corridor,Palo Alto,CA,94306,"Amendment to the ordinance implementing Housing Element program 3.4C 4C. Involves expanding geographic boundaries, adjusting development standards, affordable housing requirements, and special setbacks. Approved by City Council with additional modifications.",2/12/2025,5/28/2025,37.420881,-122.137308,
South Palo Alto Bike Ped Connectivity Project,Southern Palo Alto (rail corridor),Palo Alto,CA,94301,Project to improve bicycle and pedestrian accessibility across the rail corridor in southern Palo Alto. Identifies locally preferred crossing locations and design concepts for two new grade-separated crossings (15% designs).,3/26/2025,5/14/2025,37.4300677,-122.1417839,https://www.paloalto.gov/Departments/Transportation/Transportation-Projects/South-Palo-Alto-BikePed-Connectivity
Capital Improvement Plan (CIP) Review,Citywide,Palo Alto,CA,94301,"Annual review of new capital improvement projects (e.g., natural environment, community services, transportation, land use) for consistency with the Comprehensive Plan. Includes vehicle and equipment replacement funding.",3/26/2025,5/14/2025,37.444122,-122.149915,
Accessory Dwelling Unit (ADU) Ordinance Update,Citywide,Palo Alto,CA,94301,"Ordinance update to respond to Housing and Community Development (HCD) comments, addressing deferment of impact fees and streamlining the lien process. Approved by City Council on May 12th.",4/9/2025,5/14/2025,37.444122,-122.149915,
4075 El Camino Way,4075 El Camino Way,Palo Alto,CA,94306,"Planned Community project. City Council remanded to PTC for additional redesign, specifically requesting removal of third-floor units to reduce height/bulk, aiming for 11-13 units instead of 16.",4/30/2025,5/28/2025,37.415571,-122.126551,https://www.paloalto.gov/Departments/Planning-Development-Services/Current-Planning/Projects/4075-El-Camino-Way
788 San Antonio Road,788 San Antonio Road,Palo Alto,CA,94303,"Pre-screening for a potential Planned Community zoning application to consider additional dwelling units, for a property recently approved for development.",5/14/2025,5/14/2025,37.420965,-122.101644,https://www.paloalto.gov/Departments/Planning-Development-Services/Current-Planning/Projects/788-San-Antonio-Road
800 San Antonio Road,800 San Antonio Road,Palo Alto,CA,94303,"Pre-screening for a potential Planned Community zoning application to consider additional dwelling units, for a property recently approved for development.",5/14/2025,5/14/2025,37.420321,-122.101388,https://www.paloalto.gov/Departments/Planning-Development-Services/Current-Planning/Projects/800-San-Antonio-Road
Senate Bill 1123 Urgency Ordinance,Citywide,Palo Alto,CA,94301,"State bill allowing for subdivision up to 10 lots (ministerial process), with local governments setting regulations. City Council approved an urgency ordinance. PTC will review for a permanent ordinance.",5/28/2025,7/9/2025,37.444122,-122.149915,https://www.cityofpaloalto.org/files/assets/public/v/1/agendas-minutes-reports/reports/city-manager-reports-cmrs/year-archive/2019/id-10879-colleagues-memo-urgency-ordinance.pdf
Cubberly Community Center Master Plan,4000 Middlefield Road,Palo Alto,CA,94303,"Update on master planning process for Cubberly site (35 acres), exploring three conceptual site layouts and circulation plans. Contingent on a future bond measure. Focus on flexibility, inclusivity, sustainability, and affordability.",5/28/2025,7/9/2025,37.416846,-122.10808,https://www.paloalto.gov/Departments/Community-Services/Help-Us-Improve-Cubberley
400 Mitchell Lane (Conditional Use Permit),400 Mitchell Lane,Palo Alto,CA,94301,"Request for a Conditional Use Permit (CUP) to allow private university use (Stanford Door School of Sustainability) within an existing, formerly vacant building. Includes ADA, HVAC, electrical, lighting, and fire safety improvements. PTC recommended approval to City Council.",7/9/2025,7/30/2025,37.443023,-122.165082,https://www.paloaltoonline.com/stanford-university/2025/07/31/stanford-clears-major-hurdle-in-plan-to-repurpose-former-red-cross-building/
San Antonio Road Area Plan Update,San Antonio Road Area,Palo Alto,CA,94303,"First discussion on initial work, outreach, and next steps for the area plan update.",7/30/2025,7/30/2025,37.416266,-122.103405,https://www.paloalto.gov/Departments/Planning-Development-Services/Housing-Policies-Projects/San-Antonio-Road-Area-Plan
4256 El Camino Real,4256 El Camino Real,Palo Alto,CA,94306,Pre-screening for a future housing development project under the Planned Community (PHC) process.,7/30/2025,7/30/2025,37.407201,-122.121081,https://www.paloalto.gov/Departments/Planning-Development-Services/Current-Planning/Projects/4256-El-Camino-Real
332 Forest Avenue,332 Forest Avenue,Palo Alto,CA,94301,Pre-screening for a future housing development project under the Planned Community (PHC) process.,7/30/2025,7/30/2025,37.444642,-122.158379,https://www.paloalto.gov/Departments/Planning-Development-Services/Current-Planning/Projects/332-Forest-Avenue
